Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,170.75,170.95,168.01,168.36,2164345.0,0.0,1.0,170.75,170.95,168.01,168.36,2164345.0
2018-03-26,168.77,171.0,168.37,170.75,1331967.0,0.0,1.0,168.77,171.0,168.37,170.75,1331967.0
2018-03-23,169.53,169.81,168.06,168.11,1511350.0,0.0,1.0,169.53,169.81,168.06,168.11,1511350.0
2018-03-22,169.55,170.55,169.03,169.45,1669543.0,0.0,1.0,169.55,170.55,169.03,169.45,1669543.0
2018-03-21,171.3,172.1,169.9,170.01,1402002.0,0.0,1.0,171.3,172.1,169.9,170.01,1402002.0
2018-03-20,172.29,172.77,171.01,171.63,1761849.0,0.0,1.0,172.29,172.77,171.01,171.63,1761849.0
2018-03-19,173.9,174.26,171.54,172.06,1396713.0,0.0,1.0,173.9,174.26,171.54,172.06,1396713.0
2018-03-16,174.88,175.19,173.85,173.91,1704349.0,0.0,1.0,174.88,175.19,173.85,173.91,1704349.0
2018-03-15,176.5,176.86,174.151,174.59,1865866.0,0.0,1.0,176.5,176.86,174.151,174.59,1865866.0
2018-03-14,177.58,177.68,176.16,176.62,1885201.0,0.0,1.0,177.58,177.68,176.16,176.62,1885201.0
2018-03-13,177.46,177.62,176.8742,177.44,2328371.0,0.0,1.0,177.46,177.62,176.8742,177.44,2328371.0
2018-03-12,177.4,178.12,177.07,177.07,3338736.0,0.0,1.0,177.4,178.12,177.07,177.07,3338736.0
2018-03-09,176.81,178.02,176.14,177.38,1428683.0,0.0,1.0,176.81,178.02,176.14,177.38,1428683.0
2018-03-08,178.49,178.53,175.61,176.25,3263872.0,0.0,1.0,178.49,178.53,175.61,176.25,3263872.0
2018-03-07,177.5,178.64,177.02,178.64,2097535.0,0.0,1.0,177.5,178.64,177.02,178.64,2097535.0
2018-03-06,178.6,178.67,177.59,178.23,1346995.0,0.0,1.0,178.6,178.67,177.59,178.23,1346995.0
2018-03-05,177.2,178.91,176.74,178.46,1736775.0,0.0,1.0,177.2,178.91,176.74,178.46,1736775.0
2018-03-02,176.22,177.83,175.56,177.53,1386502.0,0.0,1.0,176.22,177.83,175.56,177.53,1386502.0
2018-03-01,177.06,178.39,175.921,176.45,1737915.0,0.0,1.0,177.06,178.39,175.921,176.45,1737915.0
2018-02-28,176.67,178.24,176.3435,177.06,2099456.0,0.0,1.0,176.67,178.24,176.3435,177.06,2099456.0
2018-02-27,176.1,177.43,176.02,176.27,1221481.0,0.0,1.0,176.1,177.43,176.02,176.27,1221481.0
2018-02-26,175.83,176.53,174.92,175.75,1515096.0,0.0,1.0,175.83,176.53,174.92,175.75,1515096.0
